Source,Target,Type,Id,Label,timeset,Weight
Yakov_Alpatych,Nikolai_Rostov,Directed,5509,,,5
AndreyBolkonsky,Prince_Dolgorukov,Directed,5510,,,11
Nikolai_Rostov,Count_Ilya_Rostov,Directed,5511,,,12
"приказный23_3_3_",полицеймейстер23_3_3_,Directed,5512,,,2
Prince_Nikolay_Bolkonsky,2,Directed,6708,,,3
regimental commander,Mikhail_Ilarionovich_Kutuzov,Directed,5514,,,1
"камердинер31_3_3_",NatashaRostova,Directed,5515,,,1
Fedor_Ivanovich_Dolokhov,Englishman,Directed,5516,,,1
Count_Ilya_Rostov,Danila,Directed,5517,,,2
Count_Ilya_Rostov,Семен,Directed,5518,,,2
"дежурный4_3_2_",AndreyBolkonsky,Directed,5519,,,1
French drummer boy,Petya_Rostov,Directed,5520,,,1
"солдаты7_4_4_",солдаты шестой роты7_4_4_,Directed,5521,,,1
"один солдат8_4_4_",плясун8_4_4_,Directed,5522,,,1
Lieutenant_Alphonse_Karlovich_Berg,NatashaRostova,Directed,5523,,,1
"молодой иностранный принц7_3_3_",HeleneKuragin,Directed,5524,,,1
"Иогель",Nikolai_Rostov,Directed,5525,,,1
"один солдат21_2_1_",Петров,Directed,5526,,,1
"смотритель1_2_2_",Pierre_Bezukhov,Directed,5527,,,1
"возчик20_2_3_",Pierre_Bezukhov,Directed,5528,,,1
AndreyBolkonsky,штаб-офицер21_2_1_,Directed,5529,,,1
Prince_Nikolay_Bolkonsky,4,Directed,6744,,,10
AndreyBolkonsky,Arakcheev,Directed,5531,,,5
"лакей19_1_1_",Princess_Anna_Mikhaylovna_Drubetskaya,Directed,5532,,,1
Staff_Captain_Tushin,Tushin's gunner,Directed,5533,,,2
Count_Ilya_Rostov,дворецкий13_3_3_,Directed,5534,,,1
Nikolai_Rostov,доктор17_2_2_,Directed,5535,,,3
Mikhail_Ilarionovich_Kutuzov,адъютант15_2_3_,Directed,5536,,,1
Pierre_Bezukhov,AndreyBolkonsky,Directed,5537,,,87
Princess_Mariya_Bolkonskaya,little Natasha,Directed,5538,,,1
"плясун8_4_4_",солдат8_4_4_,Directed,5539,,,4
"женщина33_3_3_",муж33_3_3_,Directed,5540,,,1
"писарь13_2_1_",Prince_Kozlovsky,Directed,5541,,,1
Anna_Pavlovna_Scherer,Hippolyte_Kuragin,Directed,5542,,,1
NatashaRostova,майор13_3_3_,Directed,5543,,,1
Sonya_Rostova,Marya_Dmitriyevna_Akhrosimova,Directed,5544,,,2
"денщик Ермолова4_2_4_",кавалергардский офицер4_2_4_,Directed,5545,,,1
Countess_Natalya_Rostova,Marya_Dmitriyevna_Akhrosimova,Directed,5546,,,1
"человек10_3_4_",Petya_Rostov,Directed,5547,,,2
"Богданыч",Prince_Nesvitsky,Directed,5548,,,3
"доктор32_3_3_",камердинер32_3_3_,Directed,5549,,,1
Prince_Nesvitsky,свитский офицер8_2_1_,Directed,5550,,,2
Zherkov,Fedor_Ivanovich_Dolokhov,Directed,5551,,,8
AndreyBolkonsky,барон16_3_2_,Directed,5552,,,1
2,Bolkonsky's architect,Directed,6709,,,1
Princess_Mariya_Bolkonskaya,Пелагеюшка,Directed,5555,,,1
"доктор17_2_2_",Nikolai_Rostov,Directed,5556,,,8
Tushin's gunner,Staff_Captain_Tushin,Directed,5557,,,2
AndreyBolkonsky,Prince_Nesvitsky,Directed,5558,,,11
Prince_Bagration,Tushin's gunner,Directed,5559,,,2
Mikhail_Ilarionovich_Kutuzov,солдаты6_4_4_,Directed,5560,,,4
Princess_Anna_Mikhaylovna_Drubetskaya,швейцар12_1_1_,Directed,5561,,,1
AndreyBolkonsky,солдаты9_2_1_,Directed,5562,,,1
NatashaRostova,Никита,Directed,5563,,,1
4,HeleneKuragin,Directed,6719,,,3
mademoiselle_Bourienne,Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya,Directed,5565,,,2
"француз11_2_4_",Pierre_Bezukhov,Directed,5566,,,3
Prince_Kozlovsky,Mikhail_Ilarionovich_Kutuzov,Directed,5567,,,1
HeleneKuragin,Count_Ilya_Rostov,Directed,5568,,,2
Prince_Nesvitsky,AndreyBolkonsky,Directed,5569,,,4
"адъютант18_1_1_",немец-доктор18_1_1_,Directed,5570,,,2
Count_Rostopchin,кучер25_3_3_,Directed,5571,,,1
Boris_Drubetskoy,4,Directed,6745,,,1
4,Prince_Nikolay_Bolkonsky,Directed,6721,,,5
Prince_Nikolay_Bolkonsky,3,Directed,6715,,,5
"солдат2_2_1_",другой солдат2_2_1_,Directed,5575,,,1
"солдаты8_4_4_",фельдфебель8_4_4_,Directed,5576,,,4
AndreyBolkonsky,генерал9_3_1_,Directed,5577,,,1
Pierre_Bezukhov,управляющий18_2_3_,Directed,5578,,,1
little Natasha,Princess_Mariya_Bolkonskaya,Directed,5579,,,1
Napoleon_Bonaparte,AndreyBolkonsky,Directed,5580,,,2
"офицер13_1_3_",Марья Генриховна,Directed,5581,,,1
regimental commander,солдаты2_2_1_,Directed,5582,,,1
"старуха13_2_2_",AndreyBolkonsky,Directed,5583,,,1
NatashaRostova,няня11_1_5_,Directed,5585,,,1
Princess_Mariya_Bolkonskaya,Marya_Bogdanovna,Directed,5586,,,1
Austrian minister of war,AndreyBolkonsky,Directed,5587,,,4
"мужик13_2_3_",Ilyin,Directed,5588,,,1
Petya_Rostov,Nikolai_Rostov,Directed,5589,,,2
"Тит",шутник12_3_1_,Directed,5590,,,1
Vera_Rostova,Lieutenant_Alphonse_Karlovich_Berg,Directed,5591,,,2
"взгляд10_5_2_",NatashaRostova,Directed,5592,,,1
Boris_Drubetskoy,Princess_Anna_Mikhaylovna_Drubetskaya,Directed,5593,,,6
Prince_Bagration,Nikolai_Rostov,Directed,5594,,,6
"малый23_3_3_",целовальник23_3_3_,Directed,5595,,,1
Mikhail_Ilarionovich_Kutuzov,Ланжерон,Directed,5596,,,1
Mikhail_Ilarionovich_Kutuzov,regimental commander,Directed,5597,,,4
Catiche(eldest princess),Pierre_Bezukhov,Directed,5598,,,9
regimental commander,Prince_Bagration,Directed,5599,,,3
young Nikolenka Bolkonsky,Princess_Mariya_Bolkonskaya,Directed,5600,,,1
Nikolai_Rostov,Telyanin,Directed,5601,,,11
NatashaRostova,Petya_Rostov,Directed,5602,,,6
"доктор32_3_3_",NatashaRostova,Directed,5603,,,1
"Диммлер",Countess_Natalya_Rostova,Directed,5604,,,1
"Ланжерон",Weyrother,Directed,5605,,,1
"голос2_3_1_",Pierre_Bezukhov,Directed,5606,,,1
"адъютант34_2_3_",Napoleon_Bonaparte,Directed,5607,,,1
"офицер31_2_3_",солдаты31_2_3_,Directed,5608,,,1
"солдат 58_4_4_",солдаты8_4_4_,Directed,5609,,,1
"француз15_3_4_",пленный солдат15_3_4_,Directed,5610,,,1
"упреки9_4_4_",солдат9_4_4_,Directed,5611,,,1
Pierre_Bezukhov,кучер18_2_3_,Directed,5612,,,2
"Де-Боссе",Napoleon_Bonaparte,Directed,5613,,,5
Villarsky,Pierre_Bezukhov,Directed,5614,,,8
"молодой иностранный принц6_3_3_",HeleneKuragin,Directed,5615,,,3
AndreyBolkonsky,штаб-офицер15_2_1_,Directed,5616,,,2
Mikhail_Ilarionovich_Kutuzov,солдат6_4_4_,Directed,5617,,,1
"свитский офицер8_2_1_",Богданыч,Directed,5618,,,1
Nikolai_Rostov,Uncle,Directed,5619,,,4
"генерал6_2_1_",Prince_Nesvitsky,Directed,5620,,,1
"апшеронцы15_3_1_",Miloradovich,Directed,5621,,,1
mademoiselle_Bourienne,Princess_Mariya_Bolkonskaya,Directed,5622,,,13
Mavra_Kuzminishna,камердинер14_3_3_,Directed,5623,,,1
Petya_Rostov,Sonya_Rostova,Directed,5624,,,1
Count_Bennigsen,Pierre_Bezukhov,Directed,5625,,,2
Mikhail_Ilarionovich_Kutuzov,Miloradovich,Directed,5626,,,2
"солдаты9_4_4_",Морель,Directed,5627,,,1
"другой4_2_3_",один4_2_3_,Directed,5629,,,1
"другой офицер18_3_1_",Nikolai_Rostov,Directed,5630,,,1
Count_Ilya_Rostov,Nastasya Ivanovna (buffoon),Directed,5631,,,2
Pierre_Bezukhov,адъютант31_2_3_,Directed,5632,,,5
"один из гусар13_3_1_",Nikolai_Rostov,Directed,5633,,,1
Nikolai_Rostov,гусара13_3_1_,Directed,5634,,,1
"офицер13_2_1_",AndreyBolkonsky,Directed,5635,,,3
Zherkov,австрийский генерал3_2_1_,Directed,5636,,,2
Nikolai_Rostov,блондинка5_1_4_,Directed,5637,,,2
Lavrushka,Napoleon_Bonaparte,Directed,5638,,,3
Countess_Natalya_Rostova,лакей7_1_1_,Directed,5639,,,2
Boris_Drubetskoy,Paisi_Kaysarov,Directed,5640,,,1
Petya_Rostov,French drummer boy,Directed,5641,,,2
"генерал6_2_1_",офицеры6_2_1_,Directed,5642,,,1
AndreyBolkonsky,камердинер25_1_1_,Directed,5643,,,1
"солдатик21_2_1_",Nikolai_Rostov,Directed,5644,,,1
Danila,Nikolai_Rostov,Directed,5645,,,6
Countess_Natalya_Rostova,Dunyasha,Directed,5646,,,1
Joseph_Alexeevich_Bazdeev,Pierre_Bezukhov,Directed,5647,,,24
Captain_Ramballe,Макар Алексеевич,Directed,5648,,,1
"Бицкий",Сперанский,Directed,5649,,,2
Princess_Anna_Mikhaylovna_Drubetskaya,лакей19_1_1_,Directed,5650,,,1
NatashaRostova,буфетчик14_3_3_,Directed,5651,,,2
Mikhail_Ilarionovich_Kutuzov,Шнейдер,Directed,5652,,,1
Lieutenant_Alphonse_Karlovich_Berg,Countess_Natalya_Rostova,Directed,5653,,,2
Nikolai_Rostov,AndreyBolkonsky,Directed,5654,,,4
3,young Nikolenka Bolkonsky,Directed,6710,,,1
Princess_Mariya_Bolkonskaya,Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya,Directed,5656,,,8
"востроносенький солдат8_4_4_",фельдфебель8_4_4_,Directed,5657,,,1
"слуга Пьера1_2_2_",Pierre_Bezukhov,Directed,5658,,,1
AndreyBolkonsky,Bilibin,Directed,5659,,,28
"штаб-офицер15_2_1_",AndreyBolkonsky,Directed,5660,,,5
"Рапп",Napoleon_Bonaparte,Directed,5661,,,4
Prince_Kozlovsky,Tsar_Alexander_I_of_Russia,Directed,5662,,,1
Tsar_Alexander_I_of_Russia,генерал20_2_2_,Directed,5663,,,1
Pierre_Bezukhov,солдаты8_3_3_,Directed,5664,,,4
"ямщик1_1_2_",Nikolai_Rostov,Directed,5665,,,1
"один из свиты6_2_4_",Count_Vasily_Orlov-Denisov,Directed,5666,,,2
Count_Ilya_Rostov,Vera_Rostova,Directed,5667,,,1
viscount,Pierre_Bezukhov,Directed,5668,,,5
Napoleon_Bonaparte,Lelorgne d'Ideville,Directed,5669,,,1
4,Boris_Drubetskoy,Directed,6722,,,1
Mikhail_Ilarionovich_Kutuzov,австрийский генерал3_2_1_,Directed,5671,,,3
Nikolai_Rostov,Yakov_Alpatych,Directed,5673,,,5
Lavrushka,Nikolai_Rostov,Directed,5674,,,6
